Year,Month,Day,Precipitation,Temperature,Mean temperature,PET,Storage change,Storage,Days used,Days shortage, , ,General data,,Day in year,Day in year no storage,Month,Mean rainfall/month,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,STDEV/Month/2sided
1970,1,11,8.997746534,28.34172974,,,,,,,,,,,,,11,108.2067267,66.62795849,51.51325975,60.72661234,255.0608113,177.273274,35.17528886,258.5952995,166.3680274,131.0595406,110.7103269,82.46705169,86.54492982,53.01929278,99.67320428,173.369217,114.7333961,38.63249011,132.9027889,84.75401995,35.8128249,12.14532834,202.6393989,139.4058904,111.4349119,56.68575985,166.8433307,93.0431057,58.36142651,96.84574023,93.77729228,31.27314433
1970,1,12,3.821239143,28.3394104,,,,,,,,,,,,,12,217.2251933,171.5934272,294.7047707,237.2128416,274.2614616,275.7562463,94.24903848,225.9763072,227.0677762,310.3887887,221.6848872,195.3217696,82.13777024,82.927973,334.6696219,400.8242443,186.9423778,143.8297964,226.7890715,274.8223508,161.3302693,186.3558922,239.23834,355.6104001,171.4949222,127.6124184,304.3789938,277.5504154,149.0541913,64.22002795,218.7494085,42.16833823
1970,1,13,3.540621512,28.94466553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,14,47.15632237,28.02373657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,15,55.18133417,27.41170654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,16,7.084028539,28.12770996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,17,2.720562089,29.19634399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,18,4.715511098,28.89556274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,19,6.617096602,27.95165405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,20,5.716351513,27.47155151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,21,16.48977804,27.18148193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,22,26.8677556,27.31224976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,23,10.08790545,28.00982056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,24,11.81965023,27.86922607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,25,2.475606574,27.85109863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1,26,5.490188487,27.82497559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
